srno,category_id,sub_category_id,product_sku,name,description,dimension,material,diamond,stone,gold_weight_22k,gold_weight_18k,gold_weight_14k,making_charges,quantity,color,video,default_color,default_video,is_recommended,is_most_selling,is_most_liked,is_soliter,soliter_setting,product_base_price,product_buy_price,discount,status,total_reviews,avg_rating,related_items,title,meta_title,meta_description,meta_keyword,created_at,updated_at
4,1,NULL,DSRI237,DSRI237,"A mesmerizing dance of diamonds along a zigzagging mesh, this ring captures movement and elegance in every glance. This diamond cascade zig ring is a must-have for those seeking ring design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold rings for girls or looking for a beautiful mens diamond rings to elevate their style.",,Gold,"[{""carat"":0.173,""quantity"":36,""shape"":""round"",""price_IJ_SI"":14272.5, ""price_GH_SI"":15272.5, ""price_GH_VS"":16272.5, ""price_EF_VVS"":17272.5}]",NULL,0,1.112,0.97856,1600,10,"yellow,rose,white","yellow,rose,white",yellow,yellow,1,1,1,no,no,18709,17933,0,1,1,5,"57,58,59,60,61,62",NULL,NULL,NULL,NULL,18-12-2023 14:01,18-12-2023 14:01
5,1,NULL,DSRI237,DSRI237,"A mesmerizing dance of diamonds along a zigzagging mesh, this ring captures movement and elegance in every glance. This diamond cascade zig ring is a must-have for those seeking ring design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold rings for girls or looking for a beautiful mens diamond rings to elevate their style.",,Gold,"[{""carat"":0.173,""quantity"":36,""shape"":""round"",""price_IJ_SI"":14272.5, ""price_GH_SI"":14272.5, ""price_GH_VS"":14272.5, ""price_EF_VVS"":14272.5}]",NULL,0,1.112,0.97856,1600,10,"yellow,rose,white","yellow,rose,white",rose,rose,1,1,1,no,no,18709,17933,0,1,1,5,"58,60",NULL,NULL,NULL,NULL,18-12-2023 14:01,18-12-2023 14:01
6,1,NULL,DSRI237,DSRI237,"A mesmerizing dance of diamonds along a zigzagging mesh, this ring captures movement and elegance in every glance. This diamond cascade zig ring is a must-have for those seeking ring design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold rings for girls or looking for a beautiful mens diamond rings to elevate their style.",,Gold,"[{""carat"":0.173,""quantity"":36,""shape"":""round"",""price_IJ_SI"":14272.5, ""price_GH_SI"":14272.5, ""price_GH_VS"":14272.5, ""price_EF_VVS"":14272.5}]",,0,1.112,0.97856,1600,10,"yellow,rose,white","yellow,rose,white",white,white,1,1,1,no,no,18709,17933,0,1,1,5,"58,60",NULL,NULL,NULL,NULL,18-12-2023 14:01,18-12-2023 14:01
7,3,NULL,DSEA1,DSEA1,"These round hoop earrings feature diamonds on both the inside and outside, adding sparkle and sophistication to any ensemble. This inside out round hoops is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":24.8, ""width"":1.3}",Gold,"[{""carat"":0.34,""quantity"":90,""shape"":""round"",""price"":14272.5}]",,0,4,4,1600,10,"yellow,rose,white",white,yellow,white,1,1,1,,,48930,47771,0,1,0,0,NULL,NULL,NULL,NULL,NULL,18-12-2023 19:34,18-12-2023 19:34
8,3,NULL,DSEA1,DSEA1,"These round hoop earrings feature diamonds on both the inside and outside, adding sparkle and sophistication to any ensemble. This inside out round hoops is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":24.8, ""width"":1.3}",Gold,"[{""carat"":0.34,""quantity"":90,""shape"":""round"",""price"":14272.5}]",,0,4,4,1600,10,"yellow,rose,white",white,rose,white,1,1,1,,,48930,47771,0,1,0,0,NULL,NULL,NULL,NULL,NULL,18-12-2023 19:34,18-12-2023 19:34
9,3,NULL,DSEA1,DSEA1,"These round hoop earrings feature diamonds on both the inside and outside, adding sparkle and sophistication to any ensemble. This inside out round hoops is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":24.8, ""width"":1.3}",Gold,"[{""carat"":0.34,""quantity"":90,""shape"":""round"",""price"":14272.5}]",,0,4,4,1600,10,"yellow,rose,white",white,white,white,1,1,1,,,48930,47771,0,1,0,0,NULL,NULL,NULL,NULL,NULL,18-12-2023 19:34,18-12-2023 19:34
10,1,NULL,DSRI242,DSRI242,"A captivating ring cascading with three diamonds in slanted rows, symbolizing the journey of love with each sparkling stone. This trinity cascade diamond ring is a must-have for those seeking ring design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold rings for girls or looking for a beautiful mens diamond rings to elevate their style.",,Gold,"[{""carat"":0.22,""quantity"":17,""shape"":""round"",""price"":14272.5}]",NULL,0,3.146,2.76848,1600,10,"yellow,rose,white","yellow,rose,white",yellow,yellow,1,1,1,no,no,32714,31996,0,1,0,0,NULL,NULL,NULL,NULL,NULL,19-12-2023 21:13,19-12-2023 21:13
11,1,NULL,DSRI242,DSRI242,"A captivating ring cascading with three diamonds in slanted rows, symbolizing the journey of love with each sparkling stone. This trinity cascade diamond ring is a must-have for those seeking ring design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold rings for girls or looking for a beautiful mens diamond rings to elevate their style.",,Gold,"[{""carat"":0.22,""quantity"":17,""shape"":""round"",""price"":14272.5}]",NULL,0,3.146,2.76848,1600,10,"yellow,rose,white","yellow,rose,white",rose,rose,1,1,1,no,no,32714,31996,0,1,0,0,NULL,NULL,NULL,NULL,NULL,19-12-2023 21:13,19-12-2023 21:13
12,1,NULL,DSRI242,DSRI242,"A captivating ring cascading with three diamonds in slanted rows, symbolizing the journey of love with each sparkling stone. This trinity cascade diamond ring is a must-have for those seeking ring design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold rings for girls or looking for a beautiful mens diamond rings to elevate their style.",,Gold,"[{""carat"":0.22,""quantity"":17,""shape"":""round"",""price"":14272.5}]",NULL,0,3.146,2.768,1600,10,"yellow,rose,white","yellow,rose,white",white,white,1,1,1,no,no,32714,31996,0,1,0,0,NULL,NULL,NULL,NULL,NULL,19-12-2023 21:13,19-12-2023 21:13
16,5,NULL,DSBR216,Floral Diamond Bracelet,"The bracelet features charming floral elements linked together by a sleek gold chain.Whether worn alone or paired with other jewelry, the Diamond Fleur Bracelet adds a touch of elegance to any outfit. This diamond fleur bracelet is a must-have for those seeking gold bracelet for women, offering timeless elegance with a modern touch. Perfect for anyone interested in bracelets for women or looking for a beautiful couple bracelets to elevate their style.","{""height"":15,""width"":170}",Gold,"[{""carat"":0.59,""quantity"":100,""shape"":""round""}]",,0,4.7,4,1600,1,"yellow,rose,white",yellow,yellow,yellow,1,1,1,,,67680,65153,0,1,0,0,NULL,NULL,NULL,NULL,NULL,31-01-2024 14:17,31-01-2024 14:17
